		Сталь листовая , ХК и ГК			
тольщина	до 100 м	от 100 до 500 м  от 500 до 1000 м
1 мм	      56	           34		     30	
1,5 мм		  59               50			 41
2 мм	      61	           47		     42	
2,5 мм	      69	           59		     52	
3 мм	      82	           68		     61	
4 мм	      95	           77		     69	
5 мм	     115	           90		     82	
6 мм	     147	          104		     95	
8 мм	     206	          134		    121	
10 мм	     270	          225		    169	
					
		сталь нержавеющая			
тольщина	до 100 М  от 100 до 500 М  от 500 до 1000 М
1 мм	      73	           56		     47	
1,5 мм	     120	           88		     56	
2 мм	     154	          108		     89	
3 мм	     205	          166		    153	
4 мм	     270	          205		    153	
5 мм	     387	          270		    192	
6 мм	     517	          387		    290	
8 мм	     777	          582		    452	
10 мм	     972	          777		    582	

		алюминий			
тольщина  до 100 м    от 100 до 500 м  от 500 до 1000 м					
1 мм	      70	           57		     45	
1,5 мм	     115	           79		     61	
2 мм	     148	          105		     86	
3 мм	     199	          161		    109	
4 мм	     263	          199		    148	
5 мм	     376	          263		    188	
